HDR,ROLLING SYSTEM DEMAND
VD,20191004111500,33356
VD,20191004112000,33318
VD,20191004112500,33224
VD,20191004113000,33086
VD,20191004113500,32928
VD,20191004114000,33015
VD,20191004114500,33113
VD,20191004115000,32936
VD,20191004115500,32897
VD,20191004120000,32875
VD,20191004120500,32847
VD,20191004121000,32860
VD,20191004121500,32768
VD,20191004122000,32679
VD,20191004122500,32558
VD,20191004123000,32488
VD,20191004123500,32472
VD,20191004124000,32481
VD,20191004124500,32426
VD,20191004125000,32411
VD,20191004125500,32242
VD,20191004130000,32112
VD,20191004130500,32384
VD,20191004131000,32632
VD,20191004131500,32619
VD,20191004132000,32725
VD,20191004132500,32761
VD,20191004133000,32716
VD,20191004133500,32477
VD,20191004134000,32188
VD,20191004134500,32064
VD,20191004135000,32052
VD,20191004135500,32099
VD,20191004140000,31864
VD,20191004140500,32035
VD,20191004141000,32056
VD,20191004141500,32132
VD,20191004142000,32187
VD,20191004142500,32227
VD,20191004143000,32315
VD,20191004143500,32492
VD,20191004144000,32636
VD,20191004144500,32734
VD,20191004145000,33042
VD,20191004145500,33314
VD,20191004150000,33096
VD,20191004150500,33029
VD,20191004151000,33274
VD,20191004151500,33294
VD,20191004152000,33461
VD,20191004152500,33604
VD,20191004153000,33761
VD,20191004153500,33933
VD,20191004154000,34003
VD,20191004154500,34111
VD,20191004155000,34363
VD,20191004155500,34530
VD,20191004160000,34686
VD,20191004160500,35075
VD,20191004161000,35241
VD,20191004161500,35460
VD,20191004162000,35659
VD,20191004162500,35899
VD,20191004163000,36295
VD,20191004163500,36269
VD,20191004164000,36227
VD,20191004164500,36191
VD,20191004165000,36335
VD,20191004165500,36300
VD,20191004170000,36396
VD,20191004170500,36544
VD,20191004171000,36597
VD,20191004171500,36482
VD,20191004172000,36563
VD,20191004172500,36642
VD,20191004173000,36728
VD,20191004173500,36912
VD,20191004174000,37118
VD,20191004174500,37237
VD,20191004175000,37383
VD,20191004175500,37509
VD,20191004180000,37623
VD,20191004180500,37502
VD,20191004181000,37537
VD,20191004181500,37382
VD,20191004182000,37246
VD,20191004182500,37124
VD,20191004183000,37092
VD,20191004183500,37069
VD,20191004184000,36897
VD,20191004184500,36652
VD,20191004185000,36575
VD,20191004185500,36289
VD,20191004190000,35872
VD,20191004190500,35831
VD,20191004191000,35663
VD,20191004191500,35357
VD,20191004192000,35129
VD,20191004192500,34866
VD,20191004193000,34590
VD,20191004193500,34581
VD,20191004194000,34501
VD,20191004194500,34274
VD,20191004195000,34116
VD,20191004195500,33855
VD,20191004200000,33624
VD,20191004200500,33538
VD,20191004201000,33311
VD,20191004201500,32967
VD,20191004202000,32776
VD,20191004202500,32493
VD,20191004203000,32322
VD,20191004203500,32149
VD,20191004204000,32019
VD,20191004204500,31771
VD,20191004205000,31525
VD,20191004205500,31195
VD,20191004210000,30936
VD,20191004210500,30586
VD,20191004211000,30278
VD,20191004211500,29979
VD,20191004212000,29810
VD,20191004212500,29579
VD,20191004213000,29337
VD,20191004213500,29114
VD,20191004214000,28796
VD,20191004214500,28481
VD,20191004215000,28300
VD,20191004215500,28140
VD,20191004220000,27747
VD,20191004220500,27405
VD,20191004221000,27054
VD,20191004221500,26729
VD,20191004222000,26424
VD,20191004222500,26115
VD,20191004223000,25802
VD,20191004223500,25637
VD,20191004224000,25403
VD,20191004224500,25188
VD,20191004225000,24966
VD,20191004225500,24696
VD,20191004230000,24526
VD,20191004230500,24557
VD,20191004231000,24480
VD,20191004231500,24228
VD,20191004232000,23978
VD,20191004232500,23906
VD,20191004233000,23944
VD,20191004233500,23910
VD,20191004234000,23772
VD,20191004234500,23672
VD,20191004235000,23548
VD,20191004235500,23413
VD,20191005000000,23481
VD,20191005000500,23782
VD,20191005001000,23774
VD,20191005001500,23687
VD,20191005002000,23696
VD,20191005002500,23586
VD,20191005003000,23506
VD,20191005003500,23584
VD,20191005004000,23601
VD,20191005004500,23659
VD,20191005005000,23542
VD,20191005005500,23457
VD,20191005010000,23468
VD,20191005010500,23400
VD,20191005011000,23351
VD,20191005011500,23339
VD,20191005012000,23512
VD,20191005012500,23617
VD,20191005013000,23584
VD,20191005013500,23536
VD,20191005014000,23512
VD,20191005014500,23321
VD,20191005015000,23132
VD,20191005015500,22886
VD,20191005020000,22918
VD,20191005020500,23060
VD,20191005021000,22933
VD,20191005021500,22960
VD,20191005022000,22920
VD,20191005022500,22840
VD,20191005023000,22841
VD,20191005023500,22916
VD,20191005024000,22913
VD,20191005024500,22865
VD,20191005025000,22800
VD,20191005025500,22783
VD,20191005030000,22808
VD,20191005030500,22883
VD,20191005031000,23128
VD,20191005031500,23233
VD,20191005032000,23239
VD,20191005032500,23278
VD,20191005033000,23310
VD,20191005033500,23285
VD,20191005034000,23282
VD,20191005034500,23293
VD,20191005035000,23285
VD,20191005035500,23297
VD,20191005040000,23343
VD,20191005040500,23325
VD,20191005041000,23517
VD,20191005041500,23564
VD,20191005042000,23602
VD,20191005042500,23545
VD,20191005043000,23606
VD,20191005043500,23655
VD,20191005044000,23743
VD,20191005044500,23817
VD,20191005045000,23927
VD,20191005045500,23989
VD,20191005050000,23935
VD,20191005050500,24001
VD,20191005051000,24092
VD,20191005051500,24072
VD,20191005052000,24141
VD,20191005052500,24289
VD,20191005053000,24415
VD,20191005053500,24775
VD,20191005054000,25007
VD,20191005054500,25269
VD,20191005055000,25418
VD,20191005055500,25502
VD,20191005060000,25641
VD,20191005060500,25892
VD,20191005061000,26140
VD,20191005061500,26423
VD,20191005062000,26574
VD,20191005062500,26806
VD,20191005063000,27000
VD,20191005063500,27161
VD,20191005064000,27301
VD,20191005064500,27574
VD,20191005065000,27751
VD,20191005065500,27965
VD,20191005070000,28190
VD,20191005070500,28550
VD,20191005071000,28847
VD,20191005071500,29191
VD,20191005072000,29346
VD,20191005072500,29403
VD,20191005073000,29554
VD,20191005073500,29751
VD,20191005074000,29844
VD,20191005074500,29989
VD,20191005075000,30051
VD,20191005075500,30133
VD,20191005080000,30192
VD,20191005080500,30342
VD,20191005081000,30416
VD,20191005081500,30475
VD,20191005082000,30473
VD,20191005082500,30583
VD,20191005083000,30549
VD,20191005083500,30653
VD,20191005084000,30687
VD,20191005084500,30607
VD,20191005085000,30538
VD,20191005085500,30437
VD,20191005090000,30474
VD,20191005090500,30704
VD,20191005091000,30731
VD,20191005091500,30770
VD,20191005092000,30586
VD,20191005092500,30506
VD,20191005093000,30432
VD,20191005093500,30494
VD,20191005094000,30582
VD,20191005094500,30507
VD,20191005095000,30371
VD,20191005095500,30440
VD,20191005100000,30336
VD,20191005100500,30269
VD,20191005101000,30354
VD,20191005101500,30365
VD,20191005102000,30377
VD,20191005102500,30437
VD,20191005103000,30365
VD,20191005103500,30230
VD,20191005104000,30152
VD,20191005104500,30145
VD,20191005105000,30187
VD,20191005105500,30140
VD,20191005110000,30026
VD,20191005110500,30024
VD,20191005111000,30102
VD,20191005111500,29968
VD,20191005112000,29940
VD,20191005112500,29866
VD,20191005113000,29701
VD,20191005113500,29641
VD,20191005114000,29514
VD,20191005114500,29362
VD,20191005115000,29246
VD,20191005115500,29226
VD,20191005120000,29167
VD,20191005120500,29208
VD,20191005121000,29136
VD,20191005121500,29013
VD,20191005122000,29030
VD,20191005122500,29009
VD,20191005123000,28991
VD,20191005123500,28999
VD,20191005124000,28959
VD,20191005124500,28939
VD,20191005125000,28820
VD,20191005125500,28660
VD,20191005130000,28528
VD,20191005130500,28549
VD,20191005131000,28619
VD,20191005131500,28646
VD,20191005132000,28504
VD,20191005132500,28501
VD,20191005133000,28595
VD,20191005133500,28658
VD,20191005134000,28663
VD,20191005134500,28719
VD,20191005135000,28697
VD,20191005135500,28688
VD,20191005140000,28838
VD,20191005140500,28791
VD,20191005141000,28888
VD,20191005141500,28938
VD,20191005142000,28981
VD,20191005142500,29019
VD,20191005143000,29112
VD,20191005143500,29196
VD,20191005144000,29287
VD,20191005144500,29308
VD,20191005145000,29405
VD,20191005145500,29489
VD,20191005150000,29460
VD,20191005150500,29554
VD,20191005151000,29575
VD,20191005151500,29612
VD,20191005152000,29686
VD,20191005152500,29866
VD,20191005153000,30037
VD,20191005153500,30188
VD,20191005154000,30416
VD,20191005154500,30612
VD,20191005155000,30893
VD,20191005155500,31066
VD,20191005160000,31326
VD,20191005160500,31538
VD,20191005161000,31903
VD,20191005161500,32089
VD,20191005162000,32391
VD,20191005162500,32562
VD,20191005163000,32657
VD,20191005163500,32725
VD,20191005164000,32777
VD,20191005164500,32821
VD,20191005165000,32863
VD,20191005165500,32930
VD,20191005170000,32968
VD,20191005170500,33114
VD,20191005171000,33186
VD,20191005171500,33226
VD,20191005172000,33289
VD,20191005172500,33545
VD,20191005173000,33704
VD,20191005173500,33759
VD,20191005174000,33790
VD,20191005174500,33827
VD,20191005175000,33878
VD,20191005175500,33893
VD,20191005180000,33728
VD,20191005180500,33480
VD,20191005181000,33332
VD,20191005181500,33275
VD,20191005182000,33143
VD,20191005182500,32960
VD,20191005183000,32767
VD,20191005183500,32806
VD,20191005184000,32788
VD,20191005184500,32787
VD,20191005185000,32912
VD,20191005185500,32743
VD,20191005190000,32581
VD,20191005190500,32379
VD,20191005191000,32366
VD,20191005191500,32109
VD,20191005192000,31875
VD,20191005192500,31724
VD,20191005193000,31587
VD,20191005193500,31541
VD,20191005194000,31282
VD,20191005194500,31023
VD,20191005195000,30824
VD,20191005195500,30666
VD,20191005200000,30537
VD,20191005200500,30062
VD,20191005201000,29993
VD,20191005201500,29746
VD,20191005202000,29656
VD,20191005202500,29463
VD,20191005203000,29270
VD,20191005203500,28991
VD,20191005204000,28683
VD,20191005204500,28491
VD,20191005205000,28327
VD,20191005205500,28062
VD,20191005210000,27881
VD,20191005210500,27597
VD,20191005211000,27426
VD,20191005211500,27092
VD,20191005212000,26901
VD,20191005212500,26619
VD,20191005213000,26462
VD,20191005213500,26461
VD,20191005214000,26253
VD,20191005214500,25996
VD,20191005215000,25745
VD,20191005215500,25457
VD,20191005220000,25088
VD,20191005220500,25023
VD,20191005221000,24909
VD,20191005221500,24960
VD,20191005222000,24740
VD,20191005222500,24493
VD,20191005223000,24255
VD,20191005223500,23954
VD,20191005224000,23859
VD,20191005224500,23797
VD,20191005225000,23622
VD,20191005225500,23445
VD,20191005230000,23240
VD,20191005230500,23120
VD,20191005231000,23169
VD,20191005231500,23107
VD,20191005232000,23101
VD,20191005232500,22948
VD,20191005233000,22817
VD,20191005233500,22913
VD,20191005234000,22925
VD,20191005234500,22878
VD,20191005235000,22783
VD,20191005235500,22715
VD,20191006000000,22649
VD,20191006000500,22855
VD,20191006001000,22903
VD,20191006001500,22868
VD,20191006002000,22821
VD,20191006002500,22721
VD,20191006003000,22656
VD,20191006003500,22837
VD,20191006004000,22913
VD,20191006004500,22897
VD,20191006005000,22873
VD,20191006005500,22781
VD,20191006010000,22636
VD,20191006010500,22642
VD,20191006011000,22570
VD,20191006011500,22582
VD,20191006012000,22506
VD,20191006012500,22344
VD,20191006013000,22221
VD,20191006013500,22096
VD,20191006014000,22035
VD,20191006014500,21950
VD,20191006015000,21911
VD,20191006015500,21776
VD,20191006020000,21665
VD,20191006020500,21833
VD,20191006021000,21772
VD,20191006021500,21640
VD,20191006022000,21612
VD,20191006022500,21571
VD,20191006023000,21532
VD,20191006023500,21547
VD,20191006024000,21529
VD,20191006024500,21515
VD,20191006025000,21437
VD,20191006025500,21365
VD,20191006030000,21355
VD,20191006030500,21637
VD,20191006031000,21675
VD,20191006031500,21752
VD,20191006032000,21761
VD,20191006032500,21681
VD,20191006033000,21613
VD,20191006033500,21609
VD,20191006034000,21624
VD,20191006034500,21591
VD,20191006035000,21628
VD,20191006035500,21641
VD,20191006040000,21627
VD,20191006040500,21662
VD,20191006041000,21713
VD,20191006041500,21798
VD,20191006042000,21792
VD,20191006042500,21740
VD,20191006043000,21767
VD,20191006043500,21871
VD,20191006044000,21992
VD,20191006044500,22048
VD,20191006045000,22093
VD,20191006045500,22170
VD,20191006050000,22165
VD,20191006050500,21835
VD,20191006051000,21873
VD,20191006051500,22021
VD,20191006052000,22046
VD,20191006052500,22164
VD,20191006053000,22220
VD,20191006053500,22260
VD,20191006054000,22470
VD,20191006054500,22635
VD,20191006055000,22755
VD,20191006055500,22925
VD,20191006060000,22927
VD,20191006060500,23232
VD,20191006061000,23516
VD,20191006061500,23544
VD,20191006062000,23646
VD,20191006062500,23757
VD,20191006063000,23873
VD,20191006063500,24015
VD,20191006064000,24143
VD,20191006064500,24288
VD,20191006065000,24558
VD,20191006065500,24736
VD,20191006070000,24842
VD,20191006070500,24923
VD,20191006071000,24995
VD,20191006071500,25029
VD,20191006072000,25062
VD,20191006072500,25180
VD,20191006073000,25336
VD,20191006073500,25435
VD,20191006074000,25558
VD,20191006074500,25690
VD,20191006075000,25869
VD,20191006075500,25990
VD,20191006080000,26042
VD,20191006080500,26391
VD,20191006081000,26569
VD,20191006081500,26663
VD,20191006082000,26623
VD,20191006082500,26530
VD,20191006083000,26656
VD,20191006083500,26710
VD,20191006084000,26646
VD,20191006084500,26702
VD,20191006085000,26798
VD,20191006085500,26855
VD,20191006090000,26851
VD,20191006090500,26910
VD,20191006091000,26966
VD,20191006091500,27020
VD,20191006092000,27045
VD,20191006092500,26994
VD,20191006093000,26946
VD,20191006093500,26944
VD,20191006094000,26891
VD,20191006094500,26883
VD,20191006095000,26898
VD,20191006095500,26903
VD,20191006100000,26928
VD,20191006100500,27041
VD,20191006101000,27224
VD,20191006101500,27234
VD,20191006102000,27171
VD,20191006102500,27108
VD,20191006103000,27064
VD,20191006103500,27034
VD,20191006104000,27032
VD,20191006104500,27022
VD,20191006105000,26984
VD,20191006105500,26944
VD,20191006110000,26815
VD,20191006110500,26865
VD,20191006111000,26876
VD,20191006111500,26839
VD,20191006112000,26823
VD,20191006112500,26829
VD,20191006113000,26766
VD,20191006113500,26815
VD,20191006114000,26875
VD,20191006114500,26823
VD,20191006115000,26754
VD,20191006115500,26789
VD,20191006120000,26887
VD,20191006120500,26806
VD,20191006121000,26826
VD,20191006121500,26911
VD,20191006122000,26862
VD,20191006122500,26778
VD,20191006123000,26671
VD,20191006123500,26818
VD,20191006124000,26766
VD,20191006124500,26774
VD,20191006125000,26705
VD,20191006125500,26661
VD,20191006130000,26744
VD,20191006130500,26847
VD,20191006131000,26871
VD,20191006131500,26963
VD,20191006132000,27095
VD,20191006132500,27041
VD,20191006133000,27213
VD,20191006133500,27244
VD,20191006134000,27239
VD,20191006134500,27278
VD,20191006135000,27392
VD,20191006135500,27455
VD,20191006140000,27536
VD,20191006140500,27648
VD,20191006141000,27693
VD,20191006141500,27667
VD,20191006142000,27649
VD,20191006142500,27711
VD,20191006143000,27685
VD,20191006143500,27765
VD,20191006144000,27918
VD,20191006144500,28040
VD,20191006145000,28386
VD,20191006145500,28618
VD,20191006150000,28823
VD,20191006150500,29237
VD,20191006151000,29489
VD,20191006151500,29759
VD,20191006152000,29930
VD,20191006152500,30264
VD,20191006153000,30307
VD,20191006153500,30508
VD,20191006154000,30727
VD,20191006154500,30940
VD,20191006155000,31312
VD,20191006155500,31411
VD,20191006160000,31677
VD,20191006160500,31924
VD,20191006161000,32062
VD,20191006161500,32192
VD,20191006162000,32342
VD,20191006162500,32362
VD,20191006163000,32394
VD,20191006163500,32407
VD,20191006164000,32516
VD,20191006164500,32512
VD,20191006165000,32501
VD,20191006165500,32498
VD,20191006170000,32515
VD,20191006170500,32554
VD,20191006171000,32537
VD,20191006171500,32438
VD,20191006172000,32551
VD,20191006172500,32560
VD,20191006173000,32836
VD,20191006173500,33056
VD,20191006174000,33290
VD,20191006174500,33496
VD,20191006175000,33698
VD,20191006175500,33905
VD,20191006180000,34063
VD,20191006180500,34119
VD,20191006181000,34102
VD,20191006181500,34053
VD,20191006182000,33966
VD,20191006182500,33811
VD,20191006183000,33656
VD,20191006183500,33441
VD,20191006184000,33313
VD,20191006184500,33136
VD,20191006185000,32999
VD,20191006185500,32924
VD,20191006190000,32750
VD,20191006190500,32733
VD,20191006191000,32813
VD,20191006191500,32574
VD,20191006192000,32438
VD,20191006192500,32357
VD,20191006193000,32051
VD,20191006193500,32016
VD,20191006194000,31824
VD,20191006194500,31584
VD,20191006195000,31593
VD,20191006195500,31458
VD,20191006200000,31225
VD,20191006200500,31008
VD,20191006201000,30814
VD,20191006201500,30432
VD,20191006202000,30024
VD,20191006202500,29802
VD,20191006203000,29541
VD,20191006203500,29263
VD,20191006204000,28988
VD,20191006204500,28697
VD,20191006205000,28522
VD,20191006205500,28454
VD,20191006210000,28181
VD,20191006210500,27925
VD,20191006211000,27701
VD,20191006211500,27362
VD,20191006212000,27125
VD,20191006212500,26748
VD,20191006213000,26633
VD,20191006213500,26374
VD,20191006214000,25952
VD,20191006214500,25475
VD,20191006215000,25336
VD,20191006215500,25159
VD,20191006220000,25029
VD,20191006220500,24738
VD,20191006221000,24544
VD,20191006221500,24322
VD,20191006222000,23946
VD,20191006222500,23634
VD,20191006223000,23386
VD,20191006223500,23323
VD,20191006224000,23381
VD,20191006224500,23451
VD,20191006225000,23454
VD,20191006225500,23332
VD,20191006230000,23120
VD,20191006230500,22762
VD,20191006231000,22560
VD,20191006231500,22735
VD,20191006232000,22616
VD,20191006232500,22451
VD,20191006233000,22391
VD,20191006233500,22309
VD,20191006234000,22193
VD,20191006234500,22081
VD,20191006235000,22045
VD,20191006235500,21942
VD,20191007000000,21848
VD,20191007000500,22110
VD,20191007001000,22134
VD,20191007001500,22142
VD,20191007002000,22049
VD,20191007002500,21962
VD,20191007003000,21861
VD,20191007003500,21941
VD,20191007004000,22022
VD,20191007004500,22153
VD,20191007005000,22158
VD,20191007005500,22165
VD,20191007010000,22139
VD,20191007010500,22371
VD,20191007011000,22380
VD,20191007011500,22350
VD,20191007012000,22312
VD,20191007012500,22291
VD,20191007013000,22178
VD,20191007013500,22203
VD,20191007014000,22175
VD,20191007014500,22137
VD,20191007015000,22142
VD,20191007015500,22090
VD,20191007020000,21937
VD,20191007020500,21651
VD,20191007021000,21611
VD,20191007021500,21634
VD,20191007022000,21617
VD,20191007022500,21573
VD,20191007023000,21577
VD,20191007023500,21635
VD,20191007024000,21577
VD,20191007024500,21357
VD,20191007025000,21325
VD,20191007025500,21364
VD,20191007030000,21397
VD,20191007030500,21450
VD,20191007031000,21509
VD,20191007031500,21461
VD,20191007032000,21311
VD,20191007032500,21474
VD,20191007033000,21521
VD,20191007033500,21577
VD,20191007034000,21539
VD,20191007034500,21505
VD,20191007035000,21506
VD,20191007035500,21603
VD,20191007040000,21641
VD,20191007040500,21838
VD,20191007041000,21997
VD,20191007041500,22007
VD,20191007042000,22014
VD,20191007042500,22010
VD,20191007043000,22255
VD,20191007043500,22634
VD,20191007044000,22670
VD,20191007044500,22844
VD,20191007045000,23228
VD,20191007045500,23556
VD,20191007050000,23847
VD,20191007050500,24569
VD,20191007051000,25275
VD,20191007051500,25712
VD,20191007052000,26172
VD,20191007052500,26481
VD,20191007053000,26823
VD,20191007053500,27426
VD,20191007054000,28129
VD,20191007054500,28595
VD,20191007055000,29024
VD,20191007055500,29660
VD,20191007060000,30458
VD,20191007060500,31525
VD,20191007061000,32351
VD,20191007061500,32880
VD,20191007062000,33338
VD,20191007062500,33697
VD,20191007063000,33881
VD,20191007063500,34104
VD,20191007064000,34359
VD,20191007064500,34575
VD,20191007065000,34713
VD,20191007065500,34850
VD,20191007070000,34905
VD,20191007070500,34882
VD,20191007071000,35299
VD,20191007071500,35687
VD,20191007072000,35771
VD,20191007072500,35573
VD,20191007073000,35458
VD,20191007073500,35378
VD,20191007074000,35308
VD,20191007074500,35302
VD,20191007075000,35310
VD,20191007075500,35296
VD,20191007080000,35354
VD,20191007080500,35357
VD,20191007081000,35453
VD,20191007081500,35511
VD,20191007082000,35554
VD,20191007082500,35573
VD,20191007083000,35564
VD,20191007083500,35682
VD,20191007084000,35695
VD,20191007084500,35639
VD,20191007085000,35649
VD,20191007085500,35803
VD,20191007090000,35757
VD,20191007090500,35827
VD,20191007091000,35854
VD,20191007091500,35789
VD,20191007092000,35703
VD,20191007092500,35769
VD,20191007093000,35773
VD,20191007093500,35698
VD,20191007094000,35627
VD,20191007094500,35535
VD,20191007095000,35442
VD,20191007095500,35412
VD,20191007100000,35218
VD,20191007100500,34990
VD,20191007101000,34915
VD,20191007101500,34929
VD,20191007102000,35032
VD,20191007102500,35093
VD,20191007103000,35007
VD,20191007103500,34936
VD,20191007104000,34910
VD,20191007104500,34980
VD,20191007105000,35071
VD,20191007105500,35067
VD,20191007110000,35082
VD,20191007110500,35101
VD,20191007111000,35176
VD,20191007111500,35191
VD,20191007112000,35228
VD,20191007112500,35238
VD,20191007113000,35252
VD,20191007113500,35209
VD,20191007114000,35106
VD,20191007114500,35068
VD,20191007115000,35003
VD,20191007115500,34952
VD,20191007120000,35000
VD,20191007120500,35113
VD,20191007121000,35175
VD,20191007121500,35108
VD,20191007122000,34936
VD,20191007122500,34838
VD,20191007123000,34879
VD,20191007123500,34839
VD,20191007124000,34976
VD,20191007124500,34920
VD,20191007125000,34921
VD,20191007125500,34892
VD,20191007130000,34934
VD,20191007130500,35270
VD,20191007131000,35479
VD,20191007131500,35526
VD,20191007132000,35441
VD,20191007132500,35345
VD,20191007133000,35311
VD,20191007133500,35272
VD,20191007134000,35202
VD,20191007134500,35170
VD,20191007135000,35158
VD,20191007135500,35058
VD,20191007140000,34943
VD,20191007140500,34825
VD,20191007141000,34687
VD,20191007141500,34721
VD,20191007142000,34719
VD,20191007142500,34744
VD,20191007143000,34923
VD,20191007143500,35091
VD,20191007144000,35405
VD,20191007144500,35585
VD,20191007145000,35890
VD,20191007145500,35895
VD,20191007150000,35642
VD,20191007150500,35496
VD,20191007151000,35575
VD,20191007151500,35608
VD,20191007152000,35828
VD,20191007152500,35919
VD,20191007153000,36075
VD,20191007153500,36183
VD,20191007154000,36467
VD,20191007154500,36690
VD,20191007155000,36877
VD,20191007155500,37017
VD,20191007160000,37031
VD,20191007160500,36993
VD,20191007161000,36985
VD,20191007161500,37105
VD,20191007162000,37261
VD,20191007162500,37397
VD,20191007163000,37322
VD,20191007163500,37549
VD,20191007164000,37498
VD,20191007164500,37582
VD,20191007165000,37665
VD,20191007165500,37717
VD,20191007170000,37749
VD,20191007170500,37709
VD,20191007171000,37675
VD,20191007171500,37624
VD,20191007172000,37565
VD,20191007172500,37555
VD,20191007173000,37600
VD,20191007173500,37739
VD,20191007174000,37773
VD,20191007174500,37815
VD,20191007175000,37930
VD,20191007175500,38027
VD,20191007180000,38110
VD,20191007180500,38063
VD,20191007181000,38185
VD,20191007181500,38237
VD,20191007182000,38170
VD,20191007182500,38057
VD,20191007183000,37705
VD,20191007183500,37693
VD,20191007184000,37409
VD,20191007184500,37105
VD,20191007185000,36887
VD,20191007185500,36636
VD,20191007190000,36353
VD,20191007190500,36858
VD,20191007191000,37145
VD,20191007191500,37057
VD,20191007192000,36699
VD,20191007192500,36421
VD,20191007193000,36228
VD,20191007193500,36050
VD,20191007194000,35838
VD,20191007194500,35695
VD,20191007195000,35481
VD,20191007195500,35024
VD,20191007200000,34498
VD,20191007200500,33823
VD,20191007201000,33090
VD,20191007201500,32685
VD,20191007202000,32404
VD,20191007202500,32145
VD,20191007203000,31931
VD,20191007203500,31671
VD,20191007204000,31233
VD,20191007204500,30905
VD,20191007205000,30631
VD,20191007205500,30184
VD,20191007210000,30180
VD,20191007210500,30169
VD,20191007211000,30083
VD,20191007211500,29941
VD,20191007212000,29802
VD,20191007212500,29515
VD,20191007213000,29258
VD,20191007213500,29036
VD,20191007214000,28745
VD,20191007214500,28321
VD,20191007215000,27711
VD,20191007215500,26940
VD,20191007220000,26480
VD,20191007220500,26117
VD,20191007221000,25862
VD,20191007221500,25378
VD,20191007222000,25160
VD,20191007222500,24857
VD,20191007223000,24631
VD,20191007223500,24441
FTR,2000